climate_model,region,beta_delta_temp,co2_base,co2_disaster,delta_temp_disaster,qsi,delta_s,s_0,Yre_N_0,Yce_N_0,Yre_S_0,Yce_S_0
CESM2-WACCM,america,5.238090792566205,380.0656739299597,1750.4323392001681,8,0.03283822564851918,0.0012366501609367767,1357.6215072101104,5.57754,60.40765,2.3226000000000004,12.146469999999995
CESM2-WACCM,eurafrica,5.299540756339408,380.05218067816236,1719.6452981533469,8,0.0303418344260333,0.0012449079258612238,1327.309064516354,5.1449,61.44841,2.1753,19.22951
CESM2-WACCM,asia,5.391266122361606,380.045393585297,1676.011581395193,8,0.025260423094237056,0.0013605866198733688,1281.3204093819345,1.52177,16.089109999999998,1.47534,16.053769999999997
GFDL-ESM4,america,3.389631105911462,375.99173829509454,3982.663130427625,8,0.032223577027815864,0.0004643179842093228,3595.476205384749,5.57754,60.40765,2.3226000000000004,12.146469999999995
GFDL-ESM4,eurafrica,3.6437589199013765,375.9851171303969,3378.153355277443,8,0.02982307631369069,0.0005499919465201871,2991.4175014616335,5.1449,61.44841,2.1753,19.22951
GFDL-ESM4,asia,3.504844593336377,376.0095398527189,3685.529031718468,8,0.024713312072604725,0.0005237898164330039,3296.4378249317224,1.52177,16.089109999999998,1.47534,16.053769999999997
Ensemble,america,4.313860949238833,378.0287061125272,2866.547734813897,8,0.032530901338167516,0.0008504840725730499,2476.5488562974297,5.57754,60.40765,2.3226000000000004,12.146469999999995
Ensemble,asia,4.448055357848991,378.02746671900803,2680.7703065568303,8,0.02498686758342089,0.0009421882181531863,2288.879117156828,1.52177,16.089109999999998,1.47534,16.053769999999997
Ensemble,eurafrica,4.471649838120391,378.0186489042797,2548.899326715395,8,0.030082455369862,0.0008974499361907055,2159.3632829889943,5.1449,61.44841,2.1753,19.22951
Ensemble,world,4.997053,289.415046,1298.216153,8,0.010054,0.001823,915.970085,25.1,144.9,9.0,105.3
